,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:49:59.029550
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:52:00.940956
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:52:00.940956
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:52:00.940956
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:52:00.940956
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 22:52:00.940956
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:52:00.940956
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:52:00.940956
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:54:04.484402
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:54:04.484402
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:54:04.484402
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:54:04.484402
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 22:54:04.484402
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:54:04.484402
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:54:04.484402
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:56:09.369945
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:56:09.369945
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:56:09.369945
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:56:09.369945
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 22:56:09.369945
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:56:09.369945
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:56:09.369945
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:58:10.903177
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:58:10.903177
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:58:10.903177
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 22:58:10.903177
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 22:58:10.903177
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:58:10.903177
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 22:58:10.903177
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:00:14.091881
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:00:14.091881
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:00:14.091881
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:00:14.091881
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 23:00:14.091881
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:00:14.091881
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:00:14.091881
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:02:18.748360
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:02:18.748360
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:02:18.748360
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:02:18.748360
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 23:02:18.748360
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:02:18.748360
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:02:18.748360
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:04:20.697343
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:04:20.697343
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:04:20.697343
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:04:20.697343
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 23:04:20.697343
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:04:20.697343
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:04:20.697343
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:06:24.158228
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:06:24.158228
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:06:24.158228
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:06:24.158228
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 23:06:24.158228
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:06:24.158228
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:06:24.158228
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 23:08:25.786606
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 23:08:25.786606
